AGE,EDUCATIONAL BACKGROUND,MARITAL STATUS,NUMBER OF CHILDREN,NUMBER OF YEARS BEING AN ENTREPRENEUR,I have prior experience in starting and running my own business.,I have received formal training or education in entrepreneurship.,I believe I have the necessary skills and knowledge to be a successful entrepreneur.,I have access to financial resources to start or expand my business.,I have access to business networks and mentors who can support my entrepreneurial journey.,I have faced challenges in accessing business opportunities in Sunyani.,I perceive entrepreneurship as a viable career option for women in Sunyani.,Lack of access to affordable credit and financing options.,Limited access to business training and education programs.,"Socio-cultural norms and gender biases that discourage women from starting businesses.
",Limited access to business networks and support systems.,Lack of adequate infrastructure and resources for starting a business.,Limited market opportunities and customer base for women-owned businesses.,High competition in the local market.,Desire for financial independence and self-reliance.,Passion for a particular business idea or industry.,Desire to create employment opportunities for others.,"
Lack of satisfactory employment opportunities in the job market.",Support and encouragement from family and friends.,Perceived flexibility and work-life balance of entrepreneurship.,Access to business support programs and initiatives in Sunyani.,"
Recognition and social status associated with successful entrepreneurship.",Government policies and programs that support women entrepreneurs in Sunyani,Discrimination or bias against women entrepreneurs in Sunyani,Desire for financial independence and self-reliance..1,HOW WILL YOU RATE YOUR BUSINESS SUCCESS ON A SCALE OF 10?
18-24,Secondary education,Single,0,1 to 5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
55 and above,Bachelor's degree or higher,Married,4 or more,21 or more,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,9
18-24,Bachelor's degree or higher,Single,0,1 to 5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6
25-34,Diploma/Certificate,Married,1,1 to 5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,7
18-24,Secondary education,Single,0,5 to 10,4,4,5,3,3,3,3,3,4,4,4,3,4,4,1,3,3,4,5,4,4,4,5,3,4,8
25-34,Primary education,Single,0,10 to 15,2,4,4,3,3,4,3,4,5,4,4,3,3,3,1,2,2,4,4,4,4,4,4,4,4,8
45-54,No formal education,Married,2,10 to 15,4,4,4,4,4,4,5,4,4,4,4,4,4,5,2,4,4,4,4,4,3,4,4,4,5,9
35-44,Bachelor's degree or higher,Divorced,3,15 to 20,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,9
25-34,Secondary education,Separated,4 or more,15 to 20,4,5,4,3,5,5,5,4,3,5,5,4,4,5,5,5,5,5,4,4,5,5,4,5,5,7
25-34,Bachelor's degree or higher,Married,1,5 to 10,3,5,5,5,5,5,5,4,4,3,4,3,4,4,5,4,5,4,5,5,5,5,5,4,5,9
25-34,Bachelor's degree or higher,Married,2,5 to 10,5,5,4,5,4,4,4,5,5,3,5,4,5,5,4,5,4,4,4,4,4,4,3,4,4,10
35-44,Bachelor's degree or higher,Married,3,15 to 20,5,5,5,5,5,5,5,4,4,5,4,4,5,5,5,5,4,4,4,4,4,5,5,5,5,10
35-44,Bachelor's degree or higher,Married,3,15 to 20,5,4,4,4,4,4,5,4,4,4,4,4,4,3,4,4,4,4,4,4,5,4,4,4,4,10
35-44,Bachelor's degree or higher,Married,3,15 to 20,4,4,4,4,4,4,4,1,4,4,4,3,5,5,3,3,3,3,4,5,5,5,5,4,5,10
35-44,Bachelor's degree or higher,Married,3,15 to 20,5,5,5,5,5,5,5,4,4,5,4,4,4,4,5,4,5,5,5,5,5,5,5,3,5,10
35-44,Bachelor's degree or higher,Married,4 or more,15 to 20,5,2,5,5,4,5,5,5,5,3,4,5,4,5,5,5,4,4,5,5,5,4,5,5,5,10
25-34,Bachelor's degree or higher,Married,2,5 to 10,4,3,3,5,5,5,5,5,3,4,5,3,4,4,5,5,5,4,5,4,5,5,4,5,5,9
25-34,Bachelor's degree or higher,Married,2,5 to 10,4,4,4,5,4,5,3,3,5,3,4,4,4,4,4,5,3,4,3,5,5,4,5,5,4,10
25-34,Bachelor's degree or higher,Married,2,10 to 15,4,4,4,4,3,4,4,5,5,4,4,3,4,4,4,4,5,4,5,5,4,2,3,5,5,10
25-34,Bachelor's degree or higher,Married,3,10 to 15,1,3,3,4,5,2,3,4,4,4,4,3,4,5,5,5,5,4,5,4,5,4,5,5,4,10
25-34,Bachelor's degree or higher,Married,2,15 to 20,4,4,4,4,4,4,4,3,4,3,4,4,4,4,3,4,4,4,4,5,3,4,4,4,4,10
25-34,Bachelor's degree or higher,Married,2,10 to 15,3,3,4,3,3,4,4,3,3,3,2,4,3,2,3,4,4,4,4,4,5,3,3,3,5,7
25-34,Bachelor's degree or higher,Married,2,5 to 10,4,5,4,4,3,3,3,3,4,4,4,3,4,4,2,4,2,2,4,4,4,5,4,4,4,9
25-34,Bachelor's degree or higher,Married,2,10 to 15,4,4,4,5,5,1,2,5,3,4,4,3,5,4,4,5,5,3,3,3,3,4,4,4,4,9
25-34,Bachelor's degree or higher,Married,2,10 to 15,5,5,3,4,2,4,4,4,4,4,3,5,4,5,4,5,4,4,4,4,3,5,4,5,5,10
25-34,Bachelor's degree or higher,Married,1,5 to 10,4,4,5,5,3,3,4,5,3,3,3,5,3,4,4,4,3,4,5,3,5,5,5,4,5,7
25-34,Bachelor's degree or higher,Married,2,5 to 10,3,3,2,4,3,4,3,3,5,2,3,3,4,2,5,5,2,5,4,3,3,4,5,3,5,6
25-34,Bachelor's degree or higher,Married,3,10 to 15,3,4,4,5,3,5,4,3,4,3,3,3,4,5,1,3,3,4,5,4,3,4,3,4,4,7
25-34,Bachelor's degree or higher,Married,3,15 to 20,4,4,4,4,4,4,4,4,3,3,4,4,4,4,2,3,4,4,3,4,4,3,4,4,4,10
25-34,Bachelor's degree or higher,Married,3,15 to 20,3,2,3,4,5,4,3,4,4,5,4,2,4,4,5,2,1,4,4,3,3,5,4,5,4,10
25-34,Bachelor's degree or higher,Married,2,10 to 15,3,3,5,4,4,3,3,5,5,4,5,5,1,4,5,4,3,3,1,4,3,4,5,4,4,9
25-34,Bachelor's degree or higher,Married,2,10 to 15,3,3,3,3,2,4,4,3,3,4,4,4,4,5,4,5,4,3,5,4,3,4,5,4,4,9
25-34,Bachelor's degree or higher,Married,3,15 to 20,5,4,5,5,3,4,5,3,5,4,4,4,5,4,4,5,5,3,5,3,5,5,4,3,4,10
25-34,Bachelor's degree or higher,Married,2,10 to 15,3,3,3,2,3,4,4,3,4,3,5,4,2,3,2,2,3,3,2,3,5,2,4,4,3,10
25-34,Bachelor's degree or higher,Married,2,5 to 10,4,3,2,5,5,2,5,5,3,3,2,5,4,5,4,5,4,4,4,4,4,4,5,4,3,4
18-24,Diploma/Certificate,Single,0,1 to 5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,8
18-24,Bachelor's degree or higher,Single,0,1 to 5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,7
25-34,Diploma/Certificate,Married,1,5 to 10,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,7
35-44,Bachelor's degree or higher,Married,2,10 to 15,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,9
45-54,Bachelor's degree or higher,Married,4 or more,10 to 15,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,7
55 and above,Bachelor's degree or higher,Married,4 or more,21 or more,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,9
18-24,Diploma/Certificate,Single,0,1 to 5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6
45-54,Bachelor's degree or higher,Married,2,1 to 5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
25-34,Bachelor's degree or higher,Married,2,5 to 10,3,4,4,4,4,4,4,3,4,4,4,4,5,4,4,4,3,3,3,4,3,4,3,4,5,10
25-34,Bachelor's degree or higher,Married,2,5 to 10,3,3,3,5,3,4,4,3,4,4,4,4,5,4,5,2,3,4,4,4,4,4,2,4,4,10
25-34,Bachelor's degree or higher,Married,2,5 to 10,4,2,5,3,3,2,3,3,5,4,3,3,5,4,4,4,4,3,4,3,4,3,3,4,5,10
25-34,Bachelor's degree or higher,Married,2,5 to 10,4,4,4,3,3,4,4,4,3,3,4,3,4,4,4,4,3,3,3,4,2,3,3,4,3,10
25-34,Bachelor's degree or higher,Married,2,5 to 10,2,3,3,4,4,4,4,4,4,5,4,4,5,4,5,3,5,2,3,4,3,3,3,3,3,10
25-34,Bachelor's degree or higher,Married,2,15 to 20,3,2,4,1,4,2,2,4,2,4,5,4,4,4,4,4,3,4,4,3,3,4,3,4,3,10
25-34,Bachelor's degree or higher,Married,3,15 to 20,5,3,3,3,4,4,2,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,5,5,10
35-44,Bachelor's degree or higher,Married,3,15 to 20,4,4,3,4,4,4,4,3,4,3,3,4,4,4,3,3,4,5,4,4,4,4,4,5,4,10
45-54,Bachelor's degree or higher,Married,3,15 to 20,4,3,3,4,3,4,4,5,5,4,4,4,3,4,1,4,3,4,5,4,4,4,4,4,3,10
45-54,Bachelor's degree or higher,Married,3,15 to 20,4,3,4,4,3,4,4,5,3,4,4,4,4,4,4,4,4,3,4,4,4,5,4,4,4,10
45-54,Bachelor's degree or higher,Married,3,10 to 15,4,4,4,4,4,4,4,4,4,4,4,4,5,5,4,4,4,4,4,4,4,5,4,5,4,10
35-44,Bachelor's degree or higher,Married,2,15 to 20,5,5,4,3,4,4,3,2,2,2,3,4,4,4,4,3,4,4,5,3,4,4,4,4,4,10
25-34,Bachelor's degree or higher,Married,2,10 to 15,5,3,5,2,2,5,4,4,1,4,4,4,2,4,4,3,1,4,3,5,4,4,1,4,3,10
35-44,Bachelor's degree or higher,Married,4 or more,10 to 15,3,1,2,3,5,4,4,4,3,3,4,2,2,4,3,3,3,3,4,3,4,3,4,4,4,3
45-54,Bachelor's degree or higher,Married,2,10 to 15,4,4,4,5,3,4,3,4,3,3,4,4,3,3,4,4,4,4,4,4,3,4,4,4,4,8
45-54,Bachelor's degree or higher,Married,2,21 or more,3,4,5,3,4,3,4,3,5,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,5,10
35-44,Bachelor's degree or higher,Married,2,10 to 15,5,3,3,4,4,4,4,3,4,4,4,4,3,3,4,4,3,4,3,4,4,3,4,4,3,7
35-44,Bachelor's degree or higher,Married,3,15 to 20,3,3,2,4,4,4,3,3,2,4,4,4,5,5,4,5,4,3,4,5,4,4,4,3,4,9
